Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.14M,0)
7.112000e+12 0.00 1.000000 1.564162 1.754806 2.132212
7.106000e+12 0.00 1.000000 1.564388 1.755044 2.132473
7.091000e+12 0.00 1.000000 1.564952 1.755642 2.133128
7.077000e+12 0.00 1.000000 1.565481 1.756201 2.133741
7.072000e+12 0.00 1.000000 1.565670 1.756401 2.133960
7.041000e+12 0.00 1.000000 1.566844 1.757644 2.135322
7.033000e+12 0.00 1.000000 1.567148 1.757966 2.135674
6.961000e+12 0.00 1.000000 1.569902 1.760879 2.138866
6.901000e+12 0.00 1.000000 1.572220 1.763332 2.141553
6.899000e+12 0.00 1.000000 1.572298 1.763414 2.141643
6.880000e+12 0.00 1.000000 1.573037 1.764196 2.142499
6.874000e+12 0.00 1.000000 1.573270 1.764443 2.142770
6.862000e+12 0.00 1.000000 1.573739 1.764939 2.143313
6.833000e+12 0.00 1.000000 1.574874 1.766140 2.144628
6.828000e+12 0.00 1.000000 1.575070 1.766347 2.144856
6.826000e+12 0.00 1.000000 1.575149 1.766431 2.144947
6.775000e+12 0.00 1.000000 1.577161 1.768559 2.147277
6.768000e+12 0.00 1.000000 1.577438 1.768852 2.147599
6.764000e+12 0.00 1.000000 1.577597 1.769020 2.147783
6.756000e+12 0.00 1.000000 1.577914 1.769356 2.148150
6.729000e+12 0.00 1.000000 1.578989 1.770493 2.149395
6.725000e+12 0.00 1.000000 1.579149 1.770662 2.149580
6.725000e+12 0.00 1.000000 1.579149 1.770662 2.149580
6.673000e+12 0.00 1.000000 1.581234 1.772867 2.151995
6.659000e+12 0.00 1.000000 1.581798 1.773464 2.152648
6.655000e+12 0.00 1.000000 1.581959 1.773635 2.152835
6.632000e+12 0.00 1.000000 1.582890 1.774619 2.153913
6.566000e+12 0.00 1.000000 1.585579 1.777464 2.157028
6.551000e+12 0.00 1.000000 1.586195 1.778114 2.157740
6.533000e+12 0.00 1.000000 1.586935 1.778898 2.158597
6.473000e+12 0.00 1.000000 1.589420 1.781525 2.161473
6.442000e+12 0.00 1.000000 1.590713 1.782892 2.162970
6.398000e+12 0.00 1.000000 1.592560 1.784846 2.165108
6.386000e+12 0.00 1.000000 1.593066 1.785381 2.165693
6.361000e+12 0.00 1.000000 1.594124 1.786500 2.166918
6.347000e+12 0.00 1.000000 1.594719 1.787128 2.167605
6.320000e+12 0.00 1.000000 1.595869 1.788345 2.168936
6.318000e+12 0.00 1.000000 1.595955 1.788435 2.169035
6.278000e+12 0.00 1.000000 1.597669 1.790248 2.171019
6.270000e+12 0.00 1.000000 1.598014 1.790612 2.171417
6.266000e+12 0.00 1.000000 1.598186 1.790794 2.171617
6.233000e+12 0.00 1.000000 1.599613 1.792302 2.173267
6.202000e+12 0.00 1.000000 1.600960 1.793727 2.174825
6.198000e+12 0.00 1.000000 1.601135 1.793911 2.175027
6.194000e+12 0.00 1.000000 1.601309 1.794096 2.175229
6.175000e+12 0.00 1.000000 1.602140 1.794974 2.176189
6.138000e+12 0.00 1.000000 1.603765 1.796693 2.178069
6.136000e+12 0.00 1.000000 1.603854 1.796786 2.178171
6.132000e+12 0.00 1.000000 1.604030 1.796972 2.178375
6.113000e+12 0.00 1.000000 1.604870 1.797860 2.179346
6.059000e+12 0.00 1.000000 1.607272 1.800399 2.182124
6.045000e+12 0.00 1.000000 1.607899 1.801062 2.182848
6.031000e+12 0.00 1.000000 1.608527 1.801726 2.183574
6.026000e+12 0.00 1.000000 1.608752 1.801963 2.183834
6.010000e+12 0.00 1.000000 1.609473 1.802725 2.184667
5.995000e+12 0.00 1.000000 1.610150 1.803441 2.185450
5.991000e+12 0.00 1.000000 1.610331 1.803632 2.185659
5.985000e+12 0.00 1.000000 1.610603 1.803919 2.185973
5.952000e+12 0.00 1.000000 1.612102 1.805504 2.187706
5.950000e+12 0.00 1.000000 1.612193 1.805600 2.187811
5.937000e+12 0.00 1.000000 1.612787 1.806227 2.188497
5.931000e+12 0.00 1.000000 1.613061 1.806517 2.188814
5.892000e+12 0.00 1.000000 1.614852 1.808410 2.190883
5.892000e+12 0.00 1.000000 1.614852 1.808410 2.190883
5.873000e+12 0.00 1.000000 1.615729 1.809336 2.191896
5.836000e+12 0.00 1.000000 1.617445 1.811151 2.193880
5.807000e+12 0.00 1.000000 1.618799 1.812581 2.195444
5.789000e+12 0.00 1.000000 1.619643 1.813473 2.196418
5.787000e+12 0.00 1.000000 1.619737 1.813572 2.196527
5.749000e+12 0.00 1.000000 1.621529 1.815465 2.198596
5.745000e+12 0.00 1.000000 1.621718 1.815665 2.198815
5.741000e+12 0.00 1.000000 1.621908 1.815866 2.199034
5.741000e+12 0.00 1.000000 1.621908 1.815866 2.199034
5.739000e+12 0.00 1.000000 1.622003 1.815966 2.199143
5.735000e+12 0.00 1.000000 1.622192 1.816166 2.199362
5.733000e+12 0.00 1.000000 1.622287 1.816266 2.199472
5.727000e+12 0.00 1.000000 1.622572 1.816568 2.199801
5.722000e+12 0.00 1.000000 1.622810 1.816819 2.200076
5.677000e+12 0.00 1.000000 1.624959 1.819090 2.202557
5.669000e+12 0.00 1.000000 1.625343 1.819495 2.203001
5.664000e+12 0.00 1.000000 1.625584 1.819749 2.203278
5.663000e+12 0.00 1.000000 1.625632 1.819800 2.203334
5.656000e+12 0.00 1.000000 1.625969 1.820156 2.203723
5.654000e+12 0.00 1.000000 1.626065 1.820258 2.203834
5.646000e+12 0.00 1.000000 1.626451 1.820665 2.204279
5.638000e+12 0.00 1.000000 1.626837 1.821073 2.204725
5.619000e+12 0.00 1.000000 1.627757 1.822045 2.205787
5.617000e+12 0.00 1.000000 1.627854 1.822148 2.205899
5.613000e+12 0.00 1.000000 1.628048 1.822353 2.206124
5.598000e+12 0.00 1.000000 1.628778 1.823124 2.206966
5.596000e+12 0.00 1.000000 1.628875 1.823227 2.207078
5.574000e+12 0.00 1.000000 1.629949 1.824361 2.208318
5.563000e+12 0.00 1.000000 1.630488 1.824930 2.208940
5.561000e+12 0.00 1.000000 1.630586 1.825034 2.209053
5.557000e+12 0.00 1.000000 1.630783 1.825241 2.209280
5.512000e+12 0.00 1.000000 1.633002 1.827585 2.211840
5.512000e+12 0.00 1.000000 1.633002 1.827585 2.211840
5.470000e+12 0.00 1.000000 1.635091 1.829792 2.214251
5.456000e+12 0.00 1.000000 1.635791 1.830531 2.215058
5.441000e+12 0.00 1.000000 1.636543 1.831326 2.215926
5.435000e+12 0.00 1.000000 1.636844 1.831644 2.216274
5.433000e+12 0.00 1.000000 1.636945 1.831750 2.216390
5.429000e+12 0.00 1.000000 1.637146 1.831963 2.216623
5.412000e+12 0.00 1.000000 1.638004 1.832868 2.217612
5.394000e+12 0.00 1.000000 1.638915 1.833830 2.218663
5.377000e+12 0.00 1.000000 1.639778 1.834742 2.219658
5.369000e+12 0.00 1.000000 1.640186 1.835172 2.220128
5.363000e+12 0.00 1.000000 1.640491 1.835496 2.220481
5.340000e+12 0.00 1.000000 1.641668 1.836738 2.221838
5.315000e+12 0.00 1.000000 1.642952 1.838094 2.223319
5.303000e+12 0.00 1.000000 1.643571 1.838748 2.224033
5.301000e+12 0.00 1.000000 1.643675 1.838857 2.224152
5.299000e+12 0.00 1.000000 1.643778 1.838966 2.224271
5.245000e+12 0.00 1.000000 1.646585 1.841930 2.227507
5.220000e+12 0.00 1.000000 1.647894 1.843313 2.229017
5.208000e+12 0.00 1.000000 1.648526 1.843979 2.229745
5.202000e+12 0.00 1.000000 1.648842 1.844313 2.230110
5.195000e+12 0.00 1.000000 1.649211 1.844703 2.230535
5.173000e+12 0.00 1.000000 1.650376 1.845932 2.231878
5.154000e+12 0.00 1.000000 1.651386 1.846998 2.233042
5.150000e+12 0.00 1.000000 1.651599 1.847223 2.233287
5.148000e+12 0.00 1.000000 1.651705 1.847336 2.233410
5.135000e+12 0.00 1.000000 1.652399 1.848069 2.234210
5.110000e+12 0.00 1.000000 1.653740 1.849484 2.235755
5.081000e+12 0.00 1.000000 1.655304 1.851135 2.237557
5.069000e+12 0.00 1.000000 1.655954 1.851821 2.238306
5.067000e+12 0.00 1.000000 1.656062 1.851935 2.238431
5.036000e+12 0.00 1.000000 1.657750 1.853717 2.240375
4.989000e+12 0.00 1.000000 1.660329 1.856440 2.243347
4.976000e+12 0.00 1.000000 1.661048 1.857198 2.244174
4.939000e+12 0.00 1.000000 1.663103 1.859367 2.246541
4.937000e+12 0.00 1.000000 1.663215 1.859485 2.246669
