# Mvir[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
1.230000e+13 1.421241 1.603237 0.0000 1.000000 0.651714 8.465028 9.569841 8.199155
1.210000e+13 1.425416 1.607675 0.0000 1.000000 0.651207 8.479964 9.589659 8.213619
1.203000e+13 1.426896 1.609247 0.0000 1.000000 0.651029 8.485265 9.596689 8.218747
1.198000e+13 1.427958 1.610376 0.0000 1.000000 0.650900 8.489060 9.601727 8.222423
1.197000e+13 1.428171 1.610603 0.0000 1.000000 0.650874 8.489817 9.602734 8.223160
1.188000e+13 1.430098 1.612650 0.0000 1.000000 0.650641 8.496712 9.611882 8.229833
1.185000e+13 1.430743 1.613336 0.0000 1.000000 0.650563 8.499013 9.614938 8.232065
1.183000e+13 1.431175 1.613794 0.0000 1.000000 0.650512 8.500565 9.616994 8.233560
1.173000e+13 1.433344 1.616099 0.0000 1.000000 0.650250 8.508314 9.627281 8.241064
1.173000e+13 1.433344 1.616099 0.0000 1.000000 0.650250 8.508314 9.627281 8.241064
1.169000e+13 1.434217 1.617027 0.0000 1.000000 0.650145 8.511429 9.631419 8.244083
1.167000e+13 1.434655 1.617492 0.0000 1.000000 0.650092 8.512997 9.633498 8.245598
1.159000e+13 1.436415 1.619361 0.0000 1.000000 0.649881 8.519290 9.641850 8.251685
1.152000e+13 1.437966 1.621009 0.0000 1.000000 0.649695 8.524826 9.649202 8.257047
1.141000e+13 1.440424 1.623620 0.0000 1.000000 0.649400 8.533602 9.660855 8.265544
1.139000e+13 1.440873 1.624097 0.0000 1.000000 0.649346 8.535204 9.662983 8.267092
1.139000e+13 1.440873 1.624097 0.0000 1.000000 0.649346 8.535204 9.662983 8.267092
1.132000e+13 1.442454 1.625776 0.0000 1.000000 0.649157 8.540848 9.670479 8.272555
1.129000e+13 1.443135 1.626499 0.0000 1.000000 0.649076 8.543280 9.673708 8.274907
1.126000e+13 1.443817 1.627224 0.0000 1.000000 0.648994 8.545709 9.676936 8.277260
1.125000e+13 1.444045 1.627466 0.0000 1.000000 0.648967 8.546523 9.678018 8.278047
1.122000e+13 1.444730 1.628194 0.0000 1.000000 0.648885 8.548963 9.681261 8.280411
1.109000e+13 1.447723 1.631372 0.0000 1.000000 0.648528 8.559641 9.695445 8.290743
1.097000e+13 1.450520 1.634343 0.0000 1.000000 0.648195 8.569605 9.708688 8.300393
1.096000e+13 1.450755 1.634592 0.0000 1.000000 0.648167 8.570447 9.709804 8.301206
1.091000e+13 1.451931 1.635841 0.0000 1.000000 0.648027 8.574635 9.715371 8.305261
1.089000e+13 1.452403 1.636342 0.0000 1.000000 0.647971 8.576318 9.717607 8.306888
1.083000e+13 1.453825 1.637852 0.0000 1.000000 0.647802 8.581383 9.724339 8.311788
1.059000e+13 1.459602 1.643985 0.0000 1.000000 0.647118 8.601952 9.751684 8.331697
1.051000e+13 1.461559 1.646062 0.0000 1.000000 0.646888 8.608919 9.760946 8.338434
1.049000e+13 1.462051 1.646585 0.0000 1.000000 0.646829 8.610663 9.763269 8.340128
1.040000e+13 1.464277 1.648947 0.0000 1.000000 0.646567 8.618586 9.773804 8.347790
1.035000e+13 1.465523 1.650270 0.0000 1.000000 0.646420 8.623013 9.779694 8.352080
1.030000e+13 1.466775 1.651599 0.0000 1.000000 0.646273 8.627463 9.785613 8.356386
1.021000e+13 1.469046 1.654009 0.0000 1.000000 0.646006 8.635535 9.796352 8.364196
1.019000e+13 1.469554 1.654548 0.0000 1.000000 0.645946 8.637341 9.798754 8.365943
9.979000e+12 1.474977 1.660302 0.0000 1.000000 0.645311 8.656606 9.824389 8.384581
9.919000e+12 1.476541 1.661962 0.0000 1.000000 0.645128 8.662154 9.831775 8.389953
